title,description
Academic Education (Engineering Knowledge),"An ability to apply knowledge of mathematics, science, engineering fundamentals, and software engineering specialization to the solution of complex engineering problems."
Problem Analysis,"An ability to identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences."
Design/Development of Solutions,"An ability to design solutions for complex engineering problems and design systems, components, or processes that meet specified needs with appropriate consideration for public health and safety, cultural, societal, and environmental considerations."
Investigation,"An ability to investigate complex engineering problems in a methodical way including literature survey, design and conduct of experiments, analysis and interpretation of experimental data, and synthesis of information to derive valid conclusions."
Modern Tool Usage,"An ability to create, select and apply appropriate techniques, resources, and modern engineering and IT tools (like IDEs, version control, testing frameworks), including prediction and modeling, to complex engineering activities, with an understanding of the limitations."
The Engineer and Society,"An ability to apply reasoning informed by contextual knowledge to assess societal, health, safety, legal and cultural issues and the consequent responsibilities relevant to professional engineering practice."
Environment and Sustainability,"An ability to understand the impact of professional engineering solutions in societal and environmental contexts and demonstrate knowledge of and need for sustainable development."
Ethics,"Apply ethical principles and commit to professional ethics and responsibilities and norms of engineering practice (e.g., intellectual property, data privacy)."
Individual and Team Work,"An ability to work effectively, as an individual or in a team, on multifaceted and/or multidisciplinary settings."
Communication,"An ability to communicate effectively, orally as well as in writing, on complex engineering activities with the engineering community and with society at large (e.g., writing effective reports, design documentation, and making presentations)."
Project Management,"An ability to demonstrate management skills and apply engineering principles to one’s own work, as a member and/or leader in a team, to manage projects in a multidisciplinary environment."
Lifelong Learning,"An ability to recognize the importance of, and pursue lifelong learning in the broader context of innovation and technological developments."
